State,Republican Margin,Margin of error
Alabama,20,4
Alaska,5,4
Arkansas,7,4
Colorado,1,4.4
Delaware,-20,4
Georgia,1,4.3
Hawaii,-20,4
Idaho,20,4
Illinois,-23,3.5
Iowa,0,4
Kansas,-5,4
Kentucky,4,3.6
Louisiana,13,4
Maine,20,4
Massachusetts,-20,4
Michigan,-2,4
Minnesota,-13,3.5
Mississippi,15,4
Montana,18,5
Nebraska,20,4
New Hampshire,-7,2.5
New Jersey,-13,3.5
New Mexico,-20,4
North Carolina,-2,5
Oklahoma1,20,4
Oklahoma2,20,4
Oregon,-20,4.2
Rhode Island,-20,4
South Carolina1,20,4
South Carolina2,20,4
South Dakota,11,4.4
Tennessee,20,4
Texas,20,4
Virginia,-12,3.9
West Virginia,23,4
Wyoming,20,4
